Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.001    0.000    0.001    0.000 {method 'crop' of 'ImagingCore' objects}
        5    0.000    0.000    0.001    0.000 responses.py:277(create_table)
      322    0.000    0.000    0.001    0.000 responses.py:284(<genexpr>)
        1    0.000    0.000    0.001    0.001 models.py:235(_disable_patching)
        1    0.000    0.000    0.001    0.001 preprocess.py:136(extract_grid_patches)
      173    0.000    0.000    0.001    0.000 hooks.py:537(append_item)
       23    0.000    0.000    0.001    0.000 retryhandler.py:276(__call__)
        4    0.000    0.000    0.001    0.000 client.py:378(_register_s3express_events)
        4    0.000    0.000    0.001    0.000 model.py:721(has_streaming_input)
      267    0.000    0.000    0.001    0.000 base_backend.py:273(__getitem__)
        4    0.000    0.000    0.001    0.000 model.py:729(get_streaming_input)
   253/13    0.000    0.000    0.001    0.000 serialize.py:450(_serialize)
       23    0.000    0.000    0.001    0.000 regions.py:660(_get_customized_builtins)
        2    0.000    0.000    0.001    0.000 utils.py:1694(register)
      723    0.000    0.000    0.001    0.000 enum.py:695(__call__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
        8    0.000    0.000    0.001    0.000 model.py:735(_get_streaming_body)
   105/13    0.000    0.000    0.001    0.000 serialize.py:458(_serialize_type_structure)
